Q.No.,Date,Text,Asking Member,Addressed Ministry
458,03-Apr-2023,Agriculture Subject in School Education,Rajeshbhai Naranbhai Chudasama,Education
459,03-Apr-2023,Foreign Universities Applied for GIFT City,Manish Tewari,Education
460,03-Apr-2023,Implementation of Sivagiri Tourism Circuit,Adoor Prakash,TOURISM
461,03-Apr-2023,Impact of Climate Change on Odisha,Sarmistha Sethi,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
462,03-Apr-2023,Annual Yatra from Bhishmaknagar to Porbandar,"Raja Amareshwara Naik
Bhola Singh
Sukanta Majumdar
Rajveer (Raju Bhaiya) Singh
Vinod Kumar Sonkar",Education
463,03-Apr-2023,Promotion of Tribal Products,Gajendra Singh Patel,TRIBAL AFFAIRS
464,03-Apr-2023,Impact of Price Rise,"Komati Reddy Venkat Reddy
Manne Srinivas Reddy
Raghu Ramakrishna Raju Kanumuru",FINANCE
465,03-Apr-2023,Forex Reserve of India,"Umesh G. Jadhav
Sanganna Amarappa Karadi
L.S. Tejasvi Surya",FINANCE
466,03-Apr-2023,Lateral Entry at Professor Level,"M.K. Vishnu Prasad
T.R.V.S. Ramesh",Education
467,03-Apr-2023,Construction of New Museum in National Capital,Jagdambika Pal,CULTURE
468,03-Apr-2023,SANKALP,"Sangeeta Kumari Singh Deo
Jayanta Kumar Roy",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
469,03-Apr-2023,Promotion of Entrepreneurship,Vincent H Pala,DEVELOPMENT OF NORTH EASTERN REGION
470,03-Apr-2023,Illegal Construction in CRZ,Deepak Baij,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
471,03-Apr-2023,Tiger Population,Debasree Chaudhuri,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
472,03-Apr-2023,Unemployment Rate on CMIE,Gautham Sigamani Pon,LABOUR AND EMPLOYMENT
473,03-Apr-2023,Schemes to Promote Culture of Various Communities,Naba (Hira) Kumar Sarania,CULTURE
474,03-Apr-2023,Pending Environmental Clearances,Gopal Chinayya Shetty,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
475,03-Apr-2023,Teaching in ITIs,"Bhola Singh
Vinod Kumar Sonkar",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
476,03-Apr-2023,Upgradation of Samagra Shiksha Scheme to Align it with NEP 2020,"Ramapati Ram Tripathi
Aparajita Sarangi
Pratap Chandra Sarangi
P.P. Chaudhary
Sangamlal Kadedin Gupta
Mahendra Singh Solanky
Brijbhushan Sharan Singh
Anurag Sharma",Education
477,03-Apr-2023,Climate Change Effects,"Vijayakumar (alias) Vijay Vasanth
Pallab Lochan Das","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
478,03-Apr-2023,Investors Education,Poonamben Hematbhai Maadam,CORPORATE AFFAIRS
479,03-Apr-2023,STs List of Odisha,Pinaki Misra,TRIBAL AFFAIRS
480,03-Apr-2023,TRIFED,"Kuruva Gorantla Madhav
Magunta Sreenivasulu Reddy",TRIBAL AFFAIRS
481,03-Apr-2023,Funds for Environmental Protection,Ramya Haridas,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
482,03-Apr-2023,Unemployment Rate on CMIE,Gautham Sigamani Pon,LABOUR AND EMPLOYMENT
483,03-Apr-2023,Investment Risks and Macroeconomic Problems of Indian Economy,Kani K. Navas,FINANCE
484,03-Apr-2023,Air Quality Early Warning System,"Pradyut Bordoloi
Shyam Yadav Singh
Hasnain Masoodi","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
485,03-Apr-2023,Policy on Migrant Workers during Covid-19 in Uttar Pradesh,"Keshari Devi Patel
Sanghamitra Maurya",LABOUR AND EMPLOYMENT
486,03-Apr-2023,Hostels for Students,"Arun Kumar Sagar
Ashok Kumar Yadav",Education
487,03-Apr-2023,Protection of Trees,Ramesh Chander Kaushik,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
488,03-Apr-2023,National Apprenticeship Promotion Scheme,"Beesetti Venkata Satyavathi
Magunta Sreenivasulu Reddy",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
489,03-Apr-2023,16th Finance Commission,Ritesh Pandey,FINANCE
490,03-Apr-2023,EPFO Contributors,"Manoj Rajoria
Keshari Devi Patel
Ranjeeta Koli
Jadon Chandra Sen
Sanghamitra Maurya
Sumedhanand Saraswati",LABOUR AND EMPLOYMENT
491,03-Apr-2023,Fruit Trees Plantation on Barren Lands,Alok Kumar Suman,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
492,03-Apr-2023,Scholarship at Primary Level,"Kumbakudi Sudhakaran
Sunil Kumar Singh",TRIBAL AFFAIRS
493,03-Apr-2023,Investment Risks and Macroeconomic Problems of Indian Economy,Kani K. Navas,FINANCE
494,03-Apr-2023,"IIITDM, Kurnool",Midhun Reddy,Education
495,03-Apr-2023,Promotion of Tourism in Tamil Nadu,Dayanidhi Maran,TOURISM
496,03-Apr-2023,Salient Features of the Museum Grant Scheme,"Supriya Sadanand Sule
Reddeppa Nallakonda Gari
Manjulata Mandal
Ganesan Selvam
C.N. Annadurai
Kuldeep Rai Sharma
DNV Senthilkumar. S.
Subhash Ramrao Bhamre
Sunil Dattatray Tatkare
Amol Ramsing Kolhe
Dhanush M Kumar",CULTURE
497,03-Apr-2023,Sanitation Staff in Schools,Kotha Prabhakar Reddy,Education
498,03-Apr-2023,Assessment of the Wetlands,"Aparajita Sarangi
Margani Bharat","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
499,03-Apr-2023,Health Insurance Penetration,M V V Satyanarayana,FINANCE
500,03-Apr-2023,Decline in Female Labour Force,"Shivkumar Chanabasappa Udasi
Sudhakar Tukaram Shrangre
Sanjay(Kaka) Ramchandra Patil
Vijay Baghel
Arun Sao
Mohan Mandavi
Rajendra Agrawal",LABOUR AND EMPLOYMENT
501,03-Apr-2023,Implications of removing the Minimum Threshold on Online Gaming Platforms,"Rajveer (Raju Bhaiya) Singh
Bhola Singh",FINANCE
502,03-Apr-2023,Encouraging Children to Participate in Sports,Manoj Kishorbhai Kotak,Education
503,03-Apr-2023,Skill Training Programme in NDRI,Sanjay Bhatia,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
504,03-Apr-2023,Propagation of Regional Languages,Harsimrat Kaur Badal,Education
505,03-Apr-2023,"Professors in IITs, IIMs and CUs",S. Jothimani,Education
506,03-Apr-2023,Delisting of PSUs,S. Gnanathiraviam,FINANCE
507,03-Apr-2023,National Action Plan on Climate Change,"Krupal Balaji Tumane
Bhavana Gawali (Patil)","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
508,03-Apr-2023,Inclusion of Castes in SC/ST List,"Sanjay Haribhau Jadhav
Jadon Chandra Sen
Sanghamitra Maurya
Arvind Ganpat Sawant",TRIBAL AFFAIRS
509,03-Apr-2023,SC/ST Cells,S. Venkatesan,Education
510,03-Apr-2023,Corruption in DGFASLI,Prataprao Govindrao Patil Chikhalikar,LABOUR AND EMPLOYMENT
511,03-Apr-2023,Reduce Unemployment Rate,"Nalin Kumar Kateel
Mimi Chakraborty
Mala Roy
T.N. Prathapan",LABOUR AND EMPLOYMENT
512,03-Apr-2023,Encouraging Children to Participate in Sports,Manoj Kishorbhai Kotak,Education
513,31-Mar-2023,Video Conferencing System in Assam Courts,Pradyut Bordoloi,LAW AND JUSTICE
514,31-Mar-2023,Construction of Major Ports,"Lavu Sri Krishna Devarayalu
Balashowry Vallabbhaneni","PORTS, SHIPPING AND WATERWAYS"
515,31-Mar-2023,Change in Names of High Courts,Rahul Ramesh Shewale,LAW AND JUSTICE
516,31-Mar-2023,Implementation of PCPNDT Act,"T.R.V.S. Ramesh
M.K. Vishnu Prasad",HEALTH AND FAMILY WELFARE
517,31-Mar-2023,AIIMS in Kerala,M. K. Raghavan,HEALTH AND FAMILY WELFARE
518,31-Mar-2023,Central Institute of Petrochemicals Engineering and Technology (CIPET),"Omprakash Bhupalsinh alias Pawan Rajenimbalkar
Jadon Chandra Sen",CHEMICALS AND FERTILIZERS
519,31-Mar-2023,Appointment of Judges in Apex Courts,Ritesh Pandey,LAW AND JUSTICE
520,31-Mar-2023,Indigenous Production of DAP Fertilizer,Rajeshbhai Naranbhai Chudasama,CHEMICALS AND FERTILIZERS
521,31-Mar-2023,Cerebral Palsy and Autism under CGHS,Subrata Pathak,HEALTH AND FAMILY WELFARE
522,31-Mar-2023,Medical treatment in AB-PMJAY Empanelled Hospitals,Dhal Singh Bisen,HEALTH AND FAMILY WELFARE
523,31-Mar-2023,Data Security and Privacy under AB-PMJAY,D. Ravikumar,HEALTH AND FAMILY WELFARE
524,31-Mar-2023,Benches of High Courts,Jagdambika Pal,LAW AND JUSTICE
525,31-Mar-2023,PM Poshan Scheme,Y. S. Avinash Reddy,WOMEN AND CHILD DEVELOPMENT
526,31-Mar-2023,Burden of Genetic Disorders,Poonamben Hematbhai Maadam,HEALTH AND FAMILY WELFARE
527,31-Mar-2023,Poshan Abhiyaan in Assam,Abdul Khaleque,WOMEN AND CHILD DEVELOPMENT
528,31-Mar-2023,Swadhar Greh Scheme,"Subhash Ramrao Bhamre
Sunil Dattatray Tatkare",WOMEN AND CHILD DEVELOPMENT
529,31-Mar-2023,Assistance for Kanti Velugu Programme,"Dayakar Pasunoori
Venkatesh Netha Borlakunta",HEALTH AND FAMILY WELFARE
530,31-Mar-2023,Aid to Turkey and Syria,"Ramapati Ram Tripathi
Anurag Sharma",EXTERNAL AFFAIRS
531,31-Mar-2023,Passport Service Centres,"Kanakmal Katara
Kishan Kapoor",EXTERNAL AFFAIRS
532,31-Mar-2023,PM Bharatiya Jan Aushadhi Kendras,"Komati Reddy Venkat Reddy
Manne Srinivas Reddy
Raghu Ramakrishna Raju Kanumuru",CHEMICALS AND FERTILIZERS
533,31-Mar-2023,Webcast of Court Proceedings,"Manoj Kishorbhai Kotak
Raksha Nikhil Khadse",LAW AND JUSTICE
534,31-Mar-2023,Mass Yoga Demonstrations/Sessions in 100 Cities,"Sangeeta Kumari Singh Deo
Raja Amareshwara Naik
Bhola Singh
Vinod Kumar Sonkar
Rajveer (Raju Bhaiya) Singh
Jayanta Kumar Roy
Sukanta Majumdar","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
535,31-Mar-2023,Ayurvedic Units,"Dhanush M Kumar
Manjulata Mandal","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
536,31-Mar-2023,Production of Fertilizers at par with Global Standards,"Bhavana Gawali (Patil)
Krupal Balaji Tumane
Gyaneshwar Patil",CHEMICALS AND FERTILIZERS
537,31-Mar-2023,Setting up of National Level Institute in Karnataka,"Umesh G. Jadhav
B. Y. Raghavendra
Sanganna Amarappa Karadi","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
538,31-Mar-2023,Regulation of Fees in Ayurvedic Colleges/ Universities,"Ranjeetsingh Naik Nimbalkar
Saikia Dilip
Devji Mansingram Patel","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
539,31-Mar-2023,Ayurveda Colleges and Hospitals,"Sunil Kumar Singh
Janardan Singh Sigriwal","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
540,31-Mar-2023,Natural Disasters on Ports,Ramya Haridas,"PORTS, SHIPPING AND WATERWAYS"
541,31-Mar-2023,Health Facilities in Medical Colleges,Chandeshwar Prasad,HEALTH AND FAMILY WELFARE
542,31-Mar-2023,National Organ and Tissue Transplant Organisation (NOTTO),"Sunil Dattatray Tatkare
Dhanush M Kumar
C.N. Annadurai
Subhash Ramrao Bhamre
Kuldeep Rai Sharma
Ganesan Selvam
Manjulata Mandal
Supriya Sadanand Sule
Amol Ramsing Kolhe
DNV Senthilkumar. S.",HEALTH AND FAMILY WELFARE
543,31-Mar-2023,Defence Industrial Corridor,"Vishnu Dutt Sharma
Nama Nageswara Rao",DEFENCE
544,31-Mar-2023,New Anganwadi Centres,"Ramapati Ram Tripathi
P.P. Chaudhary
Brijbhushan Sharan Singh
Anurag Sharma
Sangamlal Kadedin Gupta
Pratap Chandra Sarangi",WOMEN AND CHILD DEVELOPMENT
545,31-Mar-2023,Medical Services in Defence Sector,"Nalin Kumar Kateel
D.K. Suresh",DEFENCE
546,31-Mar-2023,Food Business Operators,"Shivkumar Chanabasappa Udasi
Vijay Baghel
Mohan Mandavi
Arun Sao
Sudhakar Tukaram Shrangre",HEALTH AND FAMILY WELFARE
547,31-Mar-2023,Performance of Schemes,M. K. Raghavan,WOMEN AND CHILD DEVELOPMENT
548,31-Mar-2023,Appointment of Speacialists as Trade Diplomats at Embassies,Ritesh Pandey,EXTERNAL AFFAIRS
549,31-Mar-2023,Zero Hunger by 2030,Abhishek Banerjee,HEALTH AND FAMILY WELFARE
550,31-Mar-2023,Fake Recruitment Job Offers,"Janardan Singh Sigriwal
Jai Prakash",EXTERNAL AFFAIRS
551,31-Mar-2023,Mumbai Port Trust Land,"Rahul Ramesh Shewale
Pritam Gopinath Munde","PORTS, SHIPPING AND WATERWAYS"
552,31-Mar-2023,National Organ and Tissue Transplant Organisation (NOTTO),"Sunil Dattatray Tatkare
Dhanush M Kumar
C.N. Annadurai
Subhash Ramrao Bhamre
Kuldeep Rai Sharma
Ganesan Selvam
Manjulata Mandal
Supriya Sadanand Sule
Amol Ramsing Kolhe
DNV Senthilkumar. S.",HEALTH AND FAMILY WELFARE
553,31-Mar-2023,HWCs set up under PM-ABHIM,Jayadev Galla,HEALTH AND FAMILY WELFARE
554,31-Mar-2023,Plastic Parks,"Ajay Kumar Mandal
Locket Chatterjee
Rama Devi",CHEMICALS AND FERTILIZERS
555,31-Mar-2023,Artificial Intelligence and Data Security in Health Sector,Sanjay(Kaka) Ramchandra Patil,HEALTH AND FAMILY WELFARE
556,31-Mar-2023,Reservation for Women,Ramdas Chandrabhanji Tadas,WOMEN AND CHILD DEVELOPMENT
557,31-Mar-2023,Modernisation of District Courts,"Jagannath Sarkar
Sudarshan Bhagat
Naba (Hira) Kumar Sarania",LAW AND JUSTICE
558,31-Mar-2023,Social Audit of One Stop Centre Scheme,"Sujay Radhakrishna Vikhepatil
Krishna Pal Singh Yadav
Heena Vijaykumar Gavit
Rita Bahuguna Joshi
Unmesh Bhaiyyasaheb Patil
Shrikant Eknath Shinde",WOMEN AND CHILD DEVELOPMENT
559,31-Mar-2023,Non-Communicable Diseases,"Bidyut Baran Mahato
Sanjay Sadashivrao Mandlik
Ravneet Singh
Sudheer Gupta
Prataprao Jadhav
Shrirang Appa Barne
Sambhajirao Mane Dhairyasheel",HEALTH AND FAMILY WELFARE
560,31-Mar-2023,Review of Judges Strength,"Arvind Kumar Sharma
Arvind Ganpat Sawant
Guman Singh Damor
Sangeeta Azad
Naba (Hira) Kumar Sarania
Sanjay Haribhau Jadhav",LAW AND JUSTICE
561,31-Mar-2023,Working Women Hostels in Telangana,"Kavitha Malothu
Gaddam Ranjith Reddy
Venkatesh Netha Borlakunta",WOMEN AND CHILD DEVELOPMENT
562,31-Mar-2023,Research in Government Medical Colleges,"Brijbhushan Sharan Singh
Ramapati Ram Tripathi
Sangeeta Azad
P.P. Chaudhary
Pratap Chandra Sarangi
Anurag Sharma
Sangamlal Kadedin Gupta",HEALTH AND FAMILY WELFARE
563,31-Mar-2023,Ukraine returned Medical Students,Sukhbir Singh Jaunapuria,HEALTH AND FAMILY WELFARE
564,31-Mar-2023,Medical Graduates from AIIMS,"Amar Singh
Adoor Prakash",HEALTH AND FAMILY WELFARE
565,31-Mar-2023,Treatment in Major Hospitals in Delhi,Ghanshyam Singh Lodhi,HEALTH AND FAMILY WELFARE
566,31-Mar-2023,PPP Model under National Digital Health Mission,Ajay Nishad,HEALTH AND FAMILY WELFARE
567,31-Mar-2023,Special Court in Tribal Areas,Gyaneshwar Patil,LAW AND JUSTICE
568,31-Mar-2023,Anemic Women,Bhartruhari Mahtab,HEALTH AND FAMILY WELFARE
569,31-Mar-2023,Lifestyle and Genetic Diseases,Sumalatha Ambareesh,HEALTH AND FAMILY WELFARE
570,31-Mar-2023,Maternity Leave to Mother,Gaurav Gogoi,WOMEN AND CHILD DEVELOPMENT
571,31-Mar-2023,Working Women Hostels in Telangana,"Kavitha Malothu
Gaddam Ranjith Reddy
Venkatesh Netha Borlakunta",WOMEN AND CHILD DEVELOPMENT
572,31-Mar-2023,Research in Government Medical Colleges,"Brijbhushan Sharan Singh
Ramapati Ram Tripathi
Sangeeta Azad
P.P. Chaudhary
Pratap Chandra Sarangi
Anurag Sharma
Sangamlal Kadedin Gupta",HEALTH AND FAMILY WELFARE
573,31-Mar-2023,Treatment of Critical Ailments,Jyotsna Charandas Mahant,HEALTH AND FAMILY WELFARE
574,31-Mar-2023,Supply of Fertilizers to Odisha,Aparajita Sarangi,CHEMICALS AND FERTILIZERS
575,31-Mar-2023,Devadasi Malpractice in India,Anumula Revanth Reddy,WOMEN AND CHILD DEVELOPMENT
576,31-Mar-2023,Indigenisation in Defence Manufacturing Sector,Santosh Kumar Gangwar,DEFENCE
577,31-Mar-2023,National Chemical Policy for Chemical Sector,Kirit Premjibhai Solanki,CHEMICALS AND FERTILIZERS
578,31-Mar-2023,Political Development in Afghanistan,Thalikkottai Rajuthevar Baalu,EXTERNAL AFFAIRS
579,31-Mar-2023,Health Facilities in Rural Areas under NRHM,Sudarshan Bhagat,HEALTH AND FAMILY WELFARE
580,31-Mar-2023,Acquisition of Zoram Medical College in Mizoram,C. Lalrosanga,HEALTH AND FAMILY WELFARE
581,31-Mar-2023,Energy Efficient Transports Services under PPP,Kalyan Banerjee,"PORTS, SHIPPING AND WATERWAYS"
582,31-Mar-2023,Free Bus Travel for Women,K. Jayakumar,WOMEN AND CHILD DEVELOPMENT
583,31-Mar-2023,Supply of Substandard Medicines,Kirti Vardhan Singh,HEALTH AND FAMILY WELFARE
584,31-Mar-2023,Accessibility of Quality Medicines,Vincent H Pala,HEALTH AND FAMILY WELFARE
585,31-Mar-2023,International Arbitration Centre,Kuruva Gorantla Madhav,LAW AND JUSTICE
586,31-Mar-2023,Medical Students returned from War-zone Countries,Deepak Baij,HEALTH AND FAMILY WELFARE
587,31-Mar-2023,Additional Allocation of Fertilizers in Bihar,Chirag Paswan,CHEMICALS AND FERTILIZERS
588,31-Mar-2023,Research on Viral Diseases by ICMR,Sangeeta Azad,HEALTH AND FAMILY WELFARE
589,31-Mar-2023,Inclusion of Potash derived from Molasses in NBS Scheme,Nama Nageswara Rao,CHEMICALS AND FERTILIZERS
590,31-Mar-2023,Sanctioned and Functional Anganwadi Centres,Mahabali Singh,WOMEN AND CHILD DEVELOPMENT
591,31-Mar-2023,Girl Students in Sainik School,Nusrat Jahan Ruhi,DEFENCE
592,31-Mar-2023,Shortage of Judges in Bihar,Dharmendra Kumar Kashyap,HEALTH AND FAMILY WELFARE
593,31-Mar-2023,Women in Indian Army,N.K. Premachandran,DEFENCE
594,31-Mar-2023,Short Service Commission,Guman Singh Damor,DEFENCE
595,31-Mar-2023,Availability of Potable Water in Central Government Hospitals,Hemant Tukaram Godse,HEALTH AND FAMILY WELFARE
596,31-Mar-2023,Medical Education in Madhya Pradesh,Uday Pratap Singh,HEALTH AND FAMILY WELFARE
597,31-Mar-2023,Import and Export of Petrochemicals,Chandra Sekhar Bellana,CHEMICALS AND FERTILIZERS
598,31-Mar-2023,National Pharmaceutical Pricing Authority,"Pocha Brahmananda Reddy
Reddeppa Nallakonda Gari",CHEMICALS AND FERTILIZERS
599,31-Mar-2023,Happiness of Children,"Gajanan Chandrakant Kirtikar
Hemant Tukaram Godse
Kalaben Mohanbhai Delkar",WOMEN AND CHILD DEVELOPMENT
600,31-Mar-2023,Smartphone to Anganwadi Workers,Bhagirath Chaudhary,WOMEN AND CHILD DEVELOPMENT
601,31-Mar-2023,International Women’s Day,Ravindra Kushawaha,WOMEN AND CHILD DEVELOPMENT
602,31-Mar-2023,Medical Colleges by Private Hospitals,Karti P. Chidambaram,HEALTH AND FAMILY WELFARE
603,31-Mar-2023,Production and Processing of Herbs,M. Selvaraj,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
604,31-Mar-2023,Schemes for Health Awareness,Haji Fazlur Rehman,HEALTH AND FAMILY WELFARE
605,31-Mar-2023,Yoga Training to Rural Women,Geetha Viswanath Vanga,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
606,31-Mar-2023,One Nation One Fertilizer Scheme,E. T. Mohammed Basheer,CHEMICALS AND FERTILIZERS
607,31-Mar-2023,Digital Empowerment of Women,Anil Firojiya,WOMEN AND CHILD DEVELOPMENT
608,31-Mar-2023,Cancer Care Facilities,Ashok Kumar Yadav,HEALTH AND FAMILY WELFARE
609,31-Mar-2023,Malnutrition Death Rate,Queen Oja,WOMEN AND CHILD DEVELOPMENT
610,31-Mar-2023,Capital Expenditure in Health Sector,"Midhun Reddy
Pocha Brahmananda Reddy",HEALTH AND FAMILY WELFARE
611,31-Mar-2023,Recognition to MBBS CPS Doctors,Rajmohan Unnithan,HEALTH AND FAMILY WELFARE
612,31-Mar-2023,Medical Colleges by Private Hospitals,Karti P. Chidambaram,HEALTH AND FAMILY WELFARE
613,31-Mar-2023,Production and Processing of Herbs,M. Selvaraj,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
614,31-Mar-2023,Child Marriages,Chandrani Murmu,WOMEN AND CHILD DEVELOPMENT
615,31-Mar-2023,Working of Contitutional Bench without Break,Kotha Prabhakar Reddy,LAW AND JUSTICE
616,31-Mar-2023,PLI Scheme for Pharmaceutical Sector,Su Thirunavukkarasar,CHEMICALS AND FERTILIZERS
617,31-Mar-2023,Comply with Relevant Laws and Regulations,Gautham Sigamani Pon,EXTERNAL AFFAIRS
618,31-Mar-2023,Facilities under National Creche Scheme,Naba (Hira) Kumar Sarania,WOMEN AND CHILD DEVELOPMENT
619,31-Mar-2023,Deaths due to Contaminated Injection,Dushyant Singh,HEALTH AND FAMILY WELFARE
620,31-Mar-2023,Minimising Candidates in Single Constituency,T. R. Paarivendhar,LAW AND JUSTICE
621,31-Mar-2023,Upgradation Port Infrastructure,Raghu Ramakrishna Raju Kanumuru,"PORTS, SHIPPING AND WATERWAYS"
622,31-Mar-2023,Welfare and Rehabilitation Scheme for Ex-servicemen,Ashok Mahadeorao Nete,DEFENCE
623,31-Mar-2023,Promotion of Hindi at UN,Ramesh Pokhriyal Nishank,EXTERNAL AFFAIRS
624,31-Mar-2023,Drug Regulatory System,Jai Prakash,HEALTH AND FAMILY WELFARE
625,31-Mar-2023,"Merger of HIL and NFL, Bathinda",Harsimrat Kaur Badal,CHEMICALS AND FERTILIZERS
626,31-Mar-2023,Integrated AYUSH Hospitals,S.R. Parthiban,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
627,31-Mar-2023,Encroachment on Land of Cantonment Areas,Ramcharan Bohra,DEFENCE
628,31-Mar-2023,Diseases due to over use of Fertilizers,Gowdar Mallikarjunappa Siddeshwara,CHEMICALS AND FERTILIZERS
629,31-Mar-2023,Immunisation under Mission Indradhanush,Raju Bista,HEALTH AND FAMILY WELFARE
630,31-Mar-2023,Malnutrition,Prataprao Govindrao Patil Chikhalikar,WOMEN AND CHILD DEVELOPMENT
631,31-Mar-2023,All India Institute of Ayurveda,T.N. Prathapan,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
632,31-Mar-2023,Demand and Production of Nano Urea,"Devji Mansingram Patel
E. T. Mohammed Basheer",CHEMICALS AND FERTILIZERS
633,31-Mar-2023,Affordable Medical Education,Raksha Nikhil Khadse,HEALTH AND FAMILY WELFARE
634,31-Mar-2023,Countries Participation in G-20,"Ravneet Singh
Sudarshan Bhagat
Su Thirunavukkarasar",EXTERNAL AFFAIRS
635,31-Mar-2023,Funds for Port Infrastructure,Debasree Chaudhuri,"PORTS, SHIPPING AND WATERWAYS"
636,31-Mar-2023,Holistic Development of Rural Women and Children,Sunil Baburao Mendhe,WOMEN AND CHILD DEVELOPMENT
637,31-Mar-2023,Implementation of One Rank One Pension Scheme,"Vijayakumar (alias) Vijay Vasanth
Ravneet Singh
Su Thirunavukkarasar",DEFENCE
638,31-Mar-2023,Faculty Vacancies in NIPER Institutes,Magunta Sreenivasulu Reddy,CHEMICALS AND FERTILIZERS
639,31-Mar-2023,Marine Traffic at Coastal Region,Naranbhai Bhikhabhai Kachhadiya,"PORTS, SHIPPING AND WATERWAYS"
640,31-Mar-2023,Agreement with the Neighbouring Countries,Aparupa Poddar,EXTERNAL AFFAIRS
641,31-Mar-2023,Delimitation of Constituencies by 2026,D. M. Kathir Anand,LAW AND JUSTICE
642,31-Mar-2023,Funds for Saksham Anganwadi and Poshan 2.0,Pramila Bisoyi,WOMEN AND CHILD DEVELOPMENT
643,31-Mar-2023,Funding Pattern for Sainik Schools,S. Muniswamy,DEFENCE
644,31-Mar-2023,Development of Six National Waterways,Chandra Sekhar Sahu,"PORTS, SHIPPING AND WATERWAYS"
645,31-Mar-2023,Preventive Measures against Dengue Outbreak,S. Jagathrakshakan,HEALTH AND FAMILY WELFARE
646,31-Mar-2023,Waiting Period for US Visa,Vishnu Dayal Ram,EXTERNAL AFFAIRS
647,31-Mar-2023,Development of National Waterways,Hibi Eden,"PORTS, SHIPPING AND WATERWAYS"
648,31-Mar-2023,AYUSH Hospital in Gopalganj,Alok Kumar Suman,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
649,31-Mar-2023,"One Nation, One Health System",Manickam Tagore B,HEALTH AND FAMILY WELFARE
650,31-Mar-2023,Pradhan Mantri Matru Vandana,Ashok Kumar Rawat,WOMEN AND CHILD DEVELOPMENT
651,31-Mar-2023,Immigration of Indians,Dileshwar Kamait,EXTERNAL AFFAIRS
652,31-Mar-2023,Funds for Saksham Anganwadi and Poshan 2.0,Margani Bharat,CHEMICALS AND FERTILIZERS
653,31-Mar-2023,Cases of Medical Negligence,"Sarmistha Sethi
Dushyant Singh",HEALTH AND FAMILY WELFARE
654,31-Mar-2023,Increase in Cases of Cancer,Sisir Kumar Adhikari,HEALTH AND FAMILY WELFARE
655,31-Mar-2023,Medicinal Plants and Herbs,"Supriya Sadanand Sule
DNV Senthilkumar. S.","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
656,31-Mar-2023,Rescue of Trafficked Children,"Beesetti Venkata Satyavathi
Sanjay(Kaka) Ramchandra Patil",WOMEN AND CHILD DEVELOPMENT
657,31-Mar-2023,Shortage of Counsellors in OSCs,Kinjarapu Ram Mohan Naidu,WOMEN AND CHILD DEVELOPMENT
658,31-Mar-2023,Cases of Food Adulteration,Rajiv Pratap Rudy,HEALTH AND FAMILY WELFARE
659,31-Mar-2023,Policy for Pending Outstanding CGHS Dues,M V V Satyanarayana,HEALTH AND FAMILY WELFARE
660,31-Mar-2023,Affordable Medicines to Cancer Patients,Srinivas Kesineni,HEALTH AND FAMILY WELFARE
661,31-Mar-2023,One Stop Centres,Vivek Narayan Shejwalkar,WOMEN AND CHILD DEVELOPMENT
662,31-Mar-2023,Fast Track Courts Scheme,"Reddeppa Nallakonda Gari
Beesetti Venkata Satyavathi",LAW AND JUSTICE
663,31-Mar-2023,Scan and Share OPD Registration Facility,Parbatbhai Savabhai Patel,HEALTH AND FAMILY WELFARE
